Athlete	CountryCode	Sport	Medals
julia greville, emma johnson, susan o'neill, lise mackie, nicole stevenson	AUS	Swimming	1
julia michalska, magdalena fularczyk	POL	Rowing	1
julie mcdonald	AUS	Swimming	1
juliet cuthbert	JAM	Athletics	2
juliet cuthbert, michelle freeman, nikole mitchell, merlene ottey-page	JAM	Athletics	1
juliette haigh, rebecca scown	NZL	Rowing	1
julius kariuki	KEN	Athletics	1
julius korir	KEN	Athletics	1
julius sang	KEN	Athletics	1
june croft	GBR	Swimming	1
june croft, ann osgerby, margaret kelly, helen jameson	GBR	Swimming	1
june foulds-paul, jean desforges, sylvia cheeseman, heather armitage	GBR	Athletics	1
june maston, betty mckinnon, joyce king, shirley strickland	AUS	Athletics	1
junxia wang	CHN	Athletics	2
juraj tarr, michal riszdorfer, richard riszdorfer, erik vlcek	SLO	Canoeing	1
juris silovs, aleksandr kornelyuk, vladimir lovetsky, valery borzov	URS	Athletics	1
justin gatlin	USA	Athletics	3
justin lemberg	AUS	Swimming	1
justin norris	AUS	Swimming	1
justus smith, john stack, ralph purchase, david turner, ian turner, james hardy, george ahlgren, david brown, lloyd butler	USA	Rowing	1
jutta behrendt	GDR	Rowing	1
jutta heine	GER	Athletics	1
j?zsef deme, j?nos r?tkai	HUN	Canoeing	1
j?zsef kov?cs	HUN	Athletics	1
j?zsef szab?	HUN	Swimming	1
kaarlo maaninka	FIN	Athletics	2
kaitlin sandeno	USA	Swimming	3
kajetan broniewski	POL	Rowing	1
kalle tuominen	FIN	Athletics	1
karel lismont	BEL	Athletics	2
karen harup	DEN	Swimming	2
karen hoff	DEN	Canoeing	1
karen moe	USA	Swimming	1
karen moras	AUS	Swimming	1
karen phillips	AUS	Swimming	1
karin balzer	GDR	Athletics	1
karin nilsson, emy machnow, jane gylling, aina berg	SWE	Swimming	1
karin seick	FRG	Swimming	1
karl-friedrich haas	GER	Athletics	1
karl-heinrich von groddeck, hans-j?rgen wallbrecht, klaus aeffke, thomas ahrens, klaus behrens, klaus bittner, j?rgen schroeder, j?rgen plagemann, horst meyer	GER	Rowing	1
karl-heinrich von groddeck, klaus bittner, karl-heinz hopp, hans lenk, willi padge, frank schepke, kraft schepke, manfred rulffs, walter schr?der	GER	Rowing	1
karl ruberl	AUT	Swimming	2
karl warner, bill carr, edgar ablowich, ivan fuqua	USA	Athletics	1
karsten forsterling, james mcrae, daniel noonan, christopher morgan	AUS	Rowing	1
katalin kovacs, danuta kozak, gabriella timea szabo, krisztina fazekas	HUN	Canoeing	1
katalin kovacs, natasa janic	HUN	Canoeing	1
katalin sz?ke	HUN	Swimming	1
katharine merry	GBR	Athletics	1
katherine copeland, sophie hosking	GBR	Rowing	1
katherine grainger, anna watkins	GBR	Rowing	1
katherine grainger, guin batten, miriam batten, gillian lindsay	GBR	Rowing	1
kathleen ellis	USA	Swimming	2
kathleen heddle, marnie mcbean	CAN	Rowing	1
kathleen nord	GDR	Swimming	1
kathrin boron, manuela lutze, britta oppelt, stephanie schiller	GER	Rowing	1
kathrin d?rre	GDR	Athletics	1
kathrin mei?ner	GDR	Swimming	1
kathrin zimmermann	GDR	Swimming	1
kathryn smallwood-cook	GBR	Athletics	1
kathryn smallwood-cook, simmone jacobs, beverley goddard-callender, heather hunte	GBR	Athletics	1
kathy hammond	USA	Athletics	1
katie hoff	USA	Swimming	2
katie ledecky	USA	Swimming	1
katrin borchert	AUS	Canoeing	1
katrin borchert, anna wood	AUS	Canoeing	1
katrin borchert, birgit fischer, anke nothnagel-von seck, ramona portwich	GER	Canoeing	1
katrin rutschow-stomporowski	GER	Rowing	2
katrin wagner	GER	Canoeing	1
katsuo takaishi	JPN	Swimming	1
kay bluhm, torsten gutsche	GER	Canoeing	3
kaye hall	USA	Swimming	2
kazimierz zimny	POL	Athletics	1
kazuo tomita, keigo shimizu, yoshihiko osaki, koichi hirakida	JPN	Swimming	1
kee-chung sohn	JPN	Athletics	1
keena rothhammer	USA	Swimming	2
keith carter	USA	Swimming	1
kellie wells	USA	Athletics	1
kelly holmes	GBR	Athletics	3
kelvin graham, peter foster	AUS	Canoeing	1
kelvin graham, ramon andersson, ian rowling, steven wood	AUS	Canoeing	1
kenenisa bekele	ETH	Athletics	4
ken huszagh	USA	Swimming	1
kenji kimihara	JPN	Athletics	1
ken matthews	GBR	Athletics	1
kennedy mcarthur	SAF	Athletics	1
kenneth myers	USA	Rowing	1
kenneth walsh	USA	Swimming	1
kentaro kawatsu	JPN	Swimming	1
ken wallace	AUS	Canoeing	2
kerron clement	USA	Athletics	1
kerron stewart	JAM	Athletics	2
kerstin behrendt, marlies g?hr-oelsner, ingrid lange-auerswald, silke m?ller-gladisch	GDR	Athletics	1
kerstin kielga?	GER	Swimming	1
kerstin k?ppen, kathrin boron	GER	Rowing	1
kerstin m?ller, kristina mundt, birgit peter, sybille schmidt	GER	Rowing	1
kevan gosper, leon gregory, david lean, graham gipson	AUS	Athletics	1
kevin berry	AUS	Swimming	1
kevin young	USA	Athletics	1
khalid boulami	MAR	Athletics	1
khalid skah	MAR	Athletics	1
kharis yunichev	URS	Swimming	1
kieren perkins	AUS	Swimming	4
kiki caron	FRA	Swimming	1
kim batten	USA	Athletics	1
kim crow	AUS	Rowing	1
kim crow, brooke pratley	AUS	Rowing	1
kim gallagher	USA	Athletics	2
kim knudsen, rene poulsen	DEN	Canoeing	1
kim turner	USA	Athletics	1
kim vandenberg, julia smit, allison schmitt, christine marshall, katie hoff, caroline burckle, natalie coughlin	USA	Swimming	1
kinue hitomi	JPN	Athletics	1
kipchoge keino	KEN	Athletics	4
kipkemboi kimeli	KEN	Athletics	1
kirani james	GRN	Athletics	1
kirk baptiste	USA	Athletics	1
kirsten emmelmann, sabine busch, petra m?ller, dagmar neubauer-r?bsam	GDR	Athletics	1
kirsten thomson, jacinta van lint, elka graham, petria thomas, susan o'neill, giaan rooney	AUS	Swimming	1
kirsten van der kolk, marit van eupen	NED	Rowing	2
kirsten vlieghuis	NED	Swimming	2
kirsty conventry	ZIM	Swimming	3
kirsty coventry	ZIM	Swimming	4
kjersti plaetzer	NOR	Athletics	1
kjersti platzer	NOR	Athletics	1
kjetil undset, steffen st?rseth	NOR	Rowing	1
klaus ehl, jobst hirscht, karlheinz klotz, gerhard wucherer	FRG	Athletics	1
klaus kr?ppelien, joachim dreifke	GDR	Rowing	1
klaus-peter hildenbrand	FRG	Athletics	1
klaus richtzenhain	GER	Athletics	1
klaus thiele, frank schaffer, volker beck, andreas knebel	GDR	Athletics	1
klemie bimolt, ada kok, erica terpstra, korrie winkel	NED	Swimming	1
klete keller	USA	Swimming	2
kl?ra rajnai	HUN	Canoeing	1
kl?ra rajnai, anna pfeffer	HUN	Canoeing	1
knut holmann	NOR	Canoeing	6
knut lindberg, charles luther, ivan m?ller, ture persson	SWE	Athletics	1
koichi morishita	JPN	Athletics	1
kokichi tsuburaya	JPN	Athletics	1
konrad wasielewski, michal jelinski, marek kolbowicz, adam korol	POL	Rowing	1
konstantinos kenteris	GRE	Athletics	1
kornelia ender	GDR	Swimming	4
kosuke hagino	JPN	Swimming	1
kosuke kitajima	JPN	Swimming	4
kosuke kitajima, takeshi matsuda, takuro fujii, ryosuke irie	JPN	Swimming	1
kriss akabusi	GBR	Athletics	1
kriss akabusi, todd bennett, phil brown, garry cook	GBR	Athletics	1
kristian hellstr?m	SWE	Athletics	1
kristina mundt, beate schramm, jana sorgers, kerstin f?rster	GDR	Rowing	1
kristin otto	GDR	Swimming	4
kristoffer leps?, thor pedersen, leif n?ss, carl henrik monssen, sigurd monssen, harald kr?kenes, thorstein kr?kenes, hans eigil hansen, halfdan gran olsen	NOR	Rowing	1
kristy kowal	USA	Swimming	1
krisztian bartfai, krisztian vereb	HUN	Canoeing	1
krisztina egerszegi	HUN	Swimming	7
k?roly bartha	HUN	Swimming	1
k?roly g?ttler	HUN	Swimming	2
k?roly levitzky	HUN	Rowing	1
kruska larsen	NOR	Athletics	1
k?the krau?	GER	Athletics	1
kurt grote, josh davis, mark henderson, gary hall jr., john hargis, jeremy linn, jeff rouse, tripp schwenk	USA	Swimming	1
kurt malisch	DEU	Swimming	1
kurt moeschter, bruno m?ller	GER	Rowing	1
kusuo kitamura	JPN	Swimming	1
kyoko iwasaki	JPN	Swimming	1
lacey hearn	USA	Athletics	1
laimute baikauskaite	URS	Athletics	1
lajos kiss	HUN	Canoeing	1
lalka berberova, radka stoyanova	BUL	Rowing	1
lalonde gordon	TTO	Athletics	1
lalonde gordon, deon lendore, jarrin solomon, ade alleyne-forte	TTO	Athletics	1
lance larson	USA	Swimming	1
larion serghei, policarp malihin	ROM	Canoeing	1
larisa kruglova, irina khabarova, olga fyodorova, yuliya tabakova	RUS	Athletics	1
larisa merk, oxana dorodnova, irina fedotova, ioulia levina	RUS	Rowing	1
larry black	USA	Athletics	1
larry cain	CAN	Canoeing	2
larry james	USA	Athletics	1
larry young	USA	Athletics	2
lars bj?nness, rolf thorsen, kjetil undset, per s?tersdal	NOR	Rowing	1
larsen jensen	USA	Swimming	2
lars-erik moberg	SWE	Canoeing	1
lars-erik moberg, per-inge bengtsson	SWE	Canoeing	1
lars fr?lander	SWE	Swimming	1
lars fr?lander, anders holmertz, anders lyrbring, christer wallin	SWE	Swimming	1
lars kober, stefan utess	GER	Canoeing	1
lars wolfbrandt, kurt lundqvist, rune larsson, folke alnevik	SWE	Athletics	1
lashawn merritt	USA	Athletics	1
lashinda demus	USA	Athletics	1
lasse vir?n	FIN	Athletics	4
laszlo cseh	HUN	Swimming	5
laurel korholz, samantha magee, anna mickelson, lianne nelson, mary whipple, megan dirkmaat, kate johnson, caryn davies, alison cox	USA	Rowing	1
laure manaudou	FRA	Swimming	3
lauri lehtinen	FIN	Athletics	2
lauri nevalainen, oiva lommi, veikko lommi, kauko wahlsten	FIN	Rowing	1
lauri siering, camille wright, shirley babashoff, linda jezek	USA	Swimming	1
lauri virtanen	FIN	Athletics	2
lauryn williams	USA	Athletics	1
lavonna martin	USA	Athletics	1
lea loveless	USA	Swimming	1
leamon king, thane baker, bobby morrow, ira murchison	USA	Athletics	1
ledys frank balceiro	CUB	Canoeing	1
lee calhoun	USA	Athletics	2
lee evans	USA	Athletics	1
lee evans, ron freeman, larry james, vincent matthews	USA	Athletics	1
leendert van dis, henricus droog	NED	Rowing	1
leisel jones	AUS	Swimming	5
leisel jones, alicia coutts, melanie schlanger, emily seebohm	AUS	Swimming	1
leni lohmar, gisela arendt, ruth halbsguth, inge schmitz	GER	Swimming	1
lennart strand	SWE	Athletics	1
lennox miller	JAM	Athletics	2
lenny krayzelburg	USA	Swimming	2
lenore kight-wingard	USA	Swimming	2
leobaldo pereira, ibrahim rojas	CUB	Canoeing	1
leonel manzano	USA	Athletics	1
leonid bartenev, yuri konovalov, gusman kosanov, edvins ozolins	URS	Athletics	1
leonid geyshtor, sergey makarenko	URS	Canoeing	1
leonid ilyichov, vladimir kosinsky, vladimir nemshilov	URS	Swimming	1
leonid spirin	URS	Athletics	1
leon rotman	ROM	Canoeing	2
les carney	USA	Athletics	1
lesley ashburner	USA	Athletics	1
leslie cliff	CAN	Swimming	1
leslie rich, harry hebner, leo goodwin, charles daniels	USA	Swimming	1
leszek dunecki, zenon licznerski, marian woronin, krzysztof zwoliwski	POL	Athletics	1
lewis clive, hugh edwards	GBR	Rowing	1
lewis tewanima	USA	Athletics	1
liam heath, jon schofield	GBR	Canoeing	1
libby trickett	AUS	Swimming	2
lida van der anker-doedens	NED	Canoeing	1
lidia simon	ROM	Athletics	1
liliana gafencu, elena georgescu, vera cochelea, doina ignat, elisabeta lipa, anca tanase, doina spircu, marioara popescu, ioana olteanu	ROM	Rowing	1
li lin	CHN	Swimming	4
liliya nurutdinova	URS	Athletics	1
lillian board	GBR	Athletics	1
limin liu	CHN	Swimming	1
lina kaciusyte	URS	Swimming	1
lina radke	GER	Athletics	1
linda gustavson	USA	Swimming	2
linda mackenzie, melanie schlanger, stephanie rice, kylie palmer, lara davenport, angie bainbridge, bronte barratt, felicity galvez	AUS	Swimming	1
lindsay burns, teresa bell	USA	Rowing	1
lindsay wilson, ivan sutherland, dave rodger, alex mclean, trevor coker, simon dickie, peter dignan, athol earl, tony hurt	NZL	Rowing	1
lindy remigino	USA	Athletics	1
linford christie	GBR	Athletics	2
linsey macdonald, michelle probert, joslyn hoyte-smith, donna-marie hartley	GBR	Athletics	1
liping wang	CHN	Athletics	1
lisa carrington	NZL	Canoeing	1
lisa jacob, trina jackson, sheila taormina, cristina teuscher, annette salmeen, ashley whitney, jenny thompson	USA	Swimming	1
lisa martin	AUS	Athletics	1
lisbeth lenton	AUS	Swimming	1
liuyang jiao	CHN	Swimming	1
liu zige	CHN	Swimming	1
livio berruti	ITA	Athletics	1
llewellyn herbert	RSA	Athletics	1
lloyd labeach	PAN	Athletics	2
lord david burghley	GBR	Athletics	1
lord david burghley, thomas hampson, godfrey rampling, crew stoneley	GBR	Athletics	1
lorenzo carboncini, riccardo deirossi, valter molea, carlo mornati	ITA	Rowing	1
lori melien, andrea nugent, jane kerr, allison higson	CAN	Swimming	1
lorraine crapp	AUS	Swimming	2
lorraine graham	JAM	Athletics	1
lorraine moller	NZL	Athletics	1
lothar kn?rzer, heinz f?tterer, manfred germar, leo pohl	GER	Athletics	1
lotte friis	DEN	Swimming	1
lotte m?he	GER	Swimming	1
louis clarke, frank hussey, alfred leconey, loren murchison	USA	Athletics	1
louise j?hncke, anna-karin kammerling, josefin lillhage, therese alshammar, malin svahnstrom, johanna sj?berg	SWE	Swimming	1
louis gantois	FRA	Canoeing	1
l?szl? folt?n, istv?n vaskuti	HUN	Canoeing	1
luca sacchi	ITA	Swimming	1
lucy morton	GBR	Swimming	1
lucyna langer	POL	Athletics	1
ludmila engquist	SWE	Athletics	1
ludy langer	USA	Swimming	1
luguelin santos	DOM	Athletics	1
luigi beccali	KIT	Athletics	2
luis las?rtegui, fernando climent	ESP	Rowing	1
lutz altepost, norman brockl, bjorn hogel goldschmidt, torsten eckbrett	GER	Canoeing	1
lutz ulbricht, niko ott, horst meyer, j?rg siebert, g?nther tiersch, dirk schreyer, r?diger henning, egbert hirschfelder, wolfgang hottenrott	FRG	Rowing	1
lyndon ferns, roland schoeman, ryk neethling, darian townsend	RSA	Swimming	1
lyndsie fogarty, hannah davis, chantal meek, lisa oldenhof	AUS	Canoeing	1
lynette mcclements	AUS	Swimming	1
lynn burke	USA	Swimming	1
lynn colella	USA	Swimming	1
lynn jennings	USA	Athletics	1
lynn vidali	USA	Swimming	2
lyubomir lyubenov	BUL	Canoeing	2
lyubomir petrov, ivo rusev, mincho nikolov, bogdan dobrev	BUL	Rowing	1
lyubov rusanova	URS	Swimming	2
lyudmila bragina	URS	Athletics	1
lyudmila dzhigalova, olga bryzgina, yelena ruzina, olga nazarova	URS	Athletics	1
lyudmila kondratyeva	URS	Athletics	1
lyudmila maslakova, natalya bochina, vera anisimova, vera komisova	URS	Athletics	1
lyudmila pinayeva-khvedosyuk	URS	Canoeing	2
lyudmila pinayeva-khvedosyuk, yekaterina kuryshko	URS	Canoeing	1
lyudmila rogachova	URS	Athletics	1
lyudmila shevtsova	URS	Athletics	1
mable fergerson, kathy hammond, cheryl toussaint, madeline manning-jackson	USA	Athletics	1
maciej freimut, wojciech krupiewski	POL	Canoeing	1
mack robinson	USA	Athletics	1
madeline manning-jackson	USA	Athletics	1
mads kruse andersen, morten j?rgensen, eskild ebbesen, thomas ebert	DEN	Rowing	1
mads rasumussen, rasmus hansen	DEN	Rowing	1
magdalena stoyanova georgieva	BUL	Rowing	1
mahe drysdale	NZL	Rowing	2
mahiedine mekhissibenabbad	FRA	Athletics	1
mahiedine mekhissi-benabbad	FRA	Athletics	1
maike nollen, carolin leonhardt, birgit fischer, katrin wagner	GER	Canoeing	1
mai nakamura	JPN	Swimming	1
maiola kalili, manuella kalili, george fissler, frank booth	USA	Swimming	1
makoto fukui, kunihiro iwasaki, toshio shoji, yukiaki okabe	JPN	Swimming	1
malcolm carmichael, charles wiggin	GBR	Rowing	1
malcolm spence	SAF	Athletics	1
malia metella	FRA	Swimming	1
mal whitfield	USA	Athletics	3
mal whitfield, arthur harnden, roy cochran, clifford bourland	USA	Athletics	1
mamo wolde	ETH	Athletics	3
manfred kinder, martin jellinghaus, gerhard hennige, helmar m?ller	FRG	Athletics	1
manfred klein, armin eichholz, thomas domian, ansgar wessling, eckhardt schultz, bahne rabe, wolfgang maennig, matthias mellinghaus, thomas m?llenkamp	FRG	Rowing	1
manuela lutze, manja kowalski, kerstin el qalqili-kowalski, meike evers	GER	Rowing	1
manuela lutze, meike evers, kerstin el qalqili-kowalski, kathrin boron	GER	Rowing	1
manuela stellmach	GDR	Swimming	1
manuel dos santos	BRA	Swimming	1
manuel plaza reyes	CHI	Athletics	1
marc bouissou, roger gautier, jacques guissart, pierre blondiaux	FRA	Rowing	1
marc burns, keston bledman, emmanuel callender, richard thompson	TTO	Athletics	1
marc detton, jean-pierre stock	FRA	Rowing	1
marcel hacker	GER	Rowing	1
marcel hansenne	FRA	Athletics	1
marcia jones	USA	Canoeing	1
marc weber, roland baar, detlef kirchhoff, mark kleinschmidt, wolfram huhn, frank richter, ulrich viefers, thorsten streppelhoff, peter thiede	GER	Rowing	1
marek dopierala, marek lbik	POL	Canoeing	1
marek lbik, marek dopierala	POL	Canoeing	1
marek witkowski, adam seroczynski, grzegorz kotowicz, dariusz bialkowski	POL	Canoeing	1
margaret bailes, barbara ferrell, wyomia tyus, mildrette netter	USA	Athletics	1
margarete adler, klara milch, josephine sticker, berta zahourek	AUT	Swimming	1
margaret edwards	GBR	Swimming	1
margaret hoelzer	USA	Swimming	2
margot marsman, marie-louise linssen-vaessen, irma heijting-schuhmacher, hanny termeulen	NED	Swimming	1
maria braun	NED	Swimming	2
maria cioncan	ROM	Athletics	1
maria gommers	NED	Athletics	1
maria mutola	MOZ	Athletics	2
mariana limbau, elena radu, raluca andreea ionita, sanda toma	ROM	Canoeing	1
marianne heemskerk	NED	Swimming	1
marianne kriel	RSA	Swimming	1
marianne limpert	CAN	Swimming	1
maria teresa ramirez	MEX	Swimming	1
maria vasco	ESP	Athletics	1
maricica puica	ROM	Athletics	1
marie baron	NED	Swimming	1
mariechen wehselau	USA	Swimming	1
marie delattre, anne-laure viard	FRA	Canoeing	1
marie-jos? p?rec	FRA	Athletics	3
marie-louise linssen-vaessen	NED	Swimming	1
marilyn black	AUS	Athletics	1
marilyn ramenofsky	USA	Swimming	1
marina koshevaya	URS	Swimming	2
marina yurchenya	URS	Swimming	1
marinus van den berge, jacob boot, jan de vries, henricus broos	NED	Athletics	1
mario lanzi	KIT	Athletics	1
marion shields	USA	Athletics	1
marise chamberlain	NZL	Athletics	1
marita koch	GDR	Athletics	1
mariya pinigina, olga nazarova, tatyana ledovskaya, olga bryzgina	URS	Athletics	1
mariya savinova	RUS	Athletics	1
marjorie jackson	AUS	Athletics	2
mark crear	USA	Athletics	2
mark de jonge	CAN	Canoeing	1
mark hunter, zac purchase	GBR	Rowing	1
mark kerry	AUS	Swimming	1
mark kerry, neil brooks, peter evans, mark tonelli	AUS	Swimming	1
mark lewis-francis, jason gardener, marlon devonish, darren campbell	GBR	Athletics	1
mark mccoy	CAN	Athletics	1
mark oldershaw	CAN	Canoeing	1
mark richardson, roger black, jamie baulch, iwan thomas	GBR	Athletics	1
mark rowland	GBR	Athletics	1
mark spitz	USA	Swimming	6
mark spitz, don schollander, john nelson, stephen rerych	USA	Swimming	1
mark stockwell	AUS	Swimming	1
mark tewksbury	CAN	Swimming	1
mark tewksbury, thomas ponting, victor davis, sandy goss	CAN	Swimming	1
markus gier, michael gier	SUI	Rowing	1
markus rogan	AUT	Swimming	2
markus ryffel	SUI	Athletics	1
mark warnecke	GER	Swimming	1
mark zabel, andreas ihle, bjorn bach, stefan ulm	GER	Canoeing	1
marleen veldhuis	NED	Swimming	1
marleen veldhuis, inge de bruijn, inge dekker, chantal groot, annabel kosten	NED	Swimming	1
marlene mathews	AUS	Athletics	2
marlies g?hr-oelsner	GDR	Athletics	1
marnie mcbean, diane o?grady, laryssa biesenthal, kathleen heddle	CAN	Rowing	1
marnie mcbean, kathleen heddle	CAN	Rowing	1
martha genenger	GER	Swimming	1
martha langbein, annie biechl, jutta heine, brunhilde hendrix	GER	Athletics	1
martha norelius	USA	Swimming	2
martha norelius, adelaide lambert, albina osipowich, eleanor garatti-saville	USA	Swimming	1
martha randall	USA	Swimming	1
martina grimaldi	ITA	Swimming	1
martina grunert, roswitha krause, uta schmuck, gabriele wetzko	GDR	Swimming	1
martina moravkova	SVK	Swimming	2
martin doktor	CZR	Canoeing	2
martin fromanack, charles aman, michael begley, frederick suerig, gustav voerg, frank dummerth, john freitag, louis helm	USA	Rowing	1
martin georgiev marinov	BUL	Canoeing	1
martin georgiev marinov, blagovest stoyanov	BUL	Canoeing	1
martin hawkins	USA	Athletics	1
martin hollstein, andreas ihle	GER	Canoeing	1
martin karl, rudolf eckstein, toni rom, willi menne	GER	Rowing	1
martin l?pez-zubero	ESP	Swimming	1
martin sinkovic, valent sinkovic, damir martin, david sain	CRO	Rowing	1
martin winter, frank dundr, karsten bunk, uwe heppner	GDR	Rowing	1
martti marttelin	FIN	Athletics	1
martyn woodroffe	GBR	Swimming	1
maryam yusuf jamal	BRN	Athletics	1
mary carew, evelyn furtsch, wilhelmina von bremen, annette rogers	USA	Athletics	1
maryna pautaran, volha khudzenka, nadzeya papok, iryna pamialova	BLR	Canoeing	1
mary onyali	NGR	Athletics	1
mary rand, janet simpson, daphne arden, dorothy hyman	GBR	Athletics	1
mary sears	USA	Swimming	1
mary t meagher	USA	Swimming	3
mary t meagher, nancy hogshead, tracey caulkins, theresa andrews	USA	Swimming	1
maryvonne dupureur	FRA	Athletics	1
mary washburn, elizabeth robinson, jessie cross, loretta mcneil	USA	Athletics	1
mary wayte	USA	Swimming	1
masahiro yoshimura	JPN	Swimming	1
masaji kiyokawa	JPN	Swimming	2
masami tanaka, mai nakamura, sumika minamoto, junko onishi	JPN	Swimming	1
masaru furukawa	JPN	Swimming	1
masonori yusa	JPN	Swimming	1
massimiliano rosolino	ITA	Swimming	3
massimiliano rosolino, matteo pelliciari, filippo magnini, emiliano brembilla, federico cappellazzo, simone cercato	ITA	Swimming	1
mate trojanovic, petar segvic, duje bonacic, velimir valenta	YUG	Rowing	1
matija ljubek	YUG	Canoeing	2
matija ljubek, mirko nisovic	YUG	Canoeing	1
matt biondi	USA	Swimming	5
matt biondi, chris cavanaugh, mike heath, ambrose gaines	USA	Swimming	1
matt biondi, troy dalbey, chris jacobs, thomas jager	USA	Swimming	1
matt grevers	USA	Swimming	1
matthew birir	KEN	Athletics	1
matthew grevers	USA	Swimming	1
matthew long, james tomkins	AUS	Rowing	1
matthew pinsent, steven redgrave	GBR	Rowing	1
matthew wells, stephen rowbotham	GBR	Rowing	1
matthew welsh	AUS	Swimming	2
matt targett, christian sprenger, hayden stoeckel, eamon sullivan, ashley delaney, andrew lauterstein, adam pine, brenton rickard	AUS	Swimming	1
matt vogel	USA	Swimming	1
maurice delvart, andr? devaux, gaston f?ry, g?o andr?	FRA	Athletics	1
maurice greene	USA	Athletics	2
maurice herriott	GBR	Athletics	1
maurizio damilano	ITA	Athletics	3
mavis freeman, bernice lapp, olive mckean, katherine rawls	USA	Swimming	1
maxey long	USA	Athletics	1
max hoff	GER	Canoeing	1
maxim opalev	RUS	Canoeing	3
max metzker	AUS	Swimming	1
max raub, herbert wiedermann	AUT	Canoeing	2
maxwell eley, robert morrison, terence sanders, james macnabb	GBR	Rowing	1
mayumi aoki	JPN	Swimming	1
mbulaeni mulaudzi	RSA	Athletics	1
mebrahtom keflezighi	USA	Athletics	1
megan jendrick, margaret hoelzer, elaine breeden, natalie coughlin, kara lynn joyce, christine magnuson, dara torres, rebecca soni	USA	Swimming	1
megan kalmoe, kara kohler, adrienne martelli, natalie dell	USA	Rowing	1
megan quann	USA	Swimming	1
megan still, kate slatter	AUS	Rowing	1
meinrad miltenberger, michael scheuer	GER	Canoeing	1
melaine walker	JAM	Athletics	1
melissa belote	USA	Swimming	2
melissa morrison	USA	Athletics	2
melvin patton	USA	Athletics	1
melvin sheppard	USA	Athletics	3
melvin sheppard, ted meredith, charles reidpath, edward lindberg	USA	Athletics	1
melvin stewart	USA	Swimming	1
meng guanliang, yang wenjun	CHN	Canoeing	1
merlene ottey-page	JAM	Athletics	7
merlene ottey-page, beverly mcdonald, tanya lawrence, veronica campbell	JAM	Athletics	1
merv wood	AUS	Rowing	2
meseret defar	ETH	Athletics	3
micah kogo	KEN	Athletics	1
michael bates	USA	Athletics	1
michael d?rsch, albert hedderich, raimund h?rmann, dieter wiedenmann	FRG	Rowing	1
michael gro?	FRG	Swimming	4
michael hart, chris baillieu	GBR	Rowing	1
michael holthaus	FRG	Swimming	1
michael jamieson	GBR	Swimming	1
michael johnson	USA	Athletics	3
michael johnson, steve lewis, quincy watts, andrew valmon	USA	Athletics	1
michael klim	AUS	Swimming	1
michael klim, toby haenen, steven dewick, scott miller, philip rogers	AUS	Swimming	1
michael kolganov	ISR	Canoeing	1
michael larrabee	USA	Athletics	1
michael larrabee, ulis williams, henry carr, ollan cassell	USA	Athletics	1
michael mathieu, ramon miller, avard moncur, christopher brown, andretti bain, andrae williams	BAH	Athletics	1
michael phelps	USA	Swimming	13
michael ryan	NZL	Athletics	1
michael shine	USA	Athletics	1
michael staines, calvin coffey	USA	Rowing	1
michael stamm	USA	Swimming	2
michael steinbach, stephan volkert, andr? willms, andreas hajek	GER	Rowing	1
michael tinsley	USA	Athletics	1
michael troy	USA	Swimming	1
michael wenden	AUS	Swimming	2
michael west	CAN	Swimming	1
michael west, thomas ponting, sandy goss, victor davis	CAN	Swimming	1
michal riszdorfer, richard riszdorfer, juraj baca, erik vlcek	SVK	Canoeing	1
michel andrieux, jean-christophe rolland	FRA	Rowing	1
michel chapuis, jean boudehen	FRA	Canoeing	1
michele pearson	AUS	Swimming	1
michel jazy	FRA	Athletics	1
michelle ford	AUS	Swimming	2
michelle guerette	USA	Rowing	1
michelle richardson	USA	Swimming	1
michelle smith	IRL	Swimming	4
michel th?ato	FRA	Athletics	1
mich?le chardonnet	FRA	Athletics	1
mieke jaapies	NED	Canoeing	1
miguel seijas, juan rodriguez	URU	Rowing	1
miguel white	PHI	Athletics	1
mihai zafiu, nicusor esanu, vasile diba, lon geanta	ROM	Canoeing	1
mihai zafiu, roman vartolomeu, aurel vernescu, atanase sciotnic	ROM	Canoeing	1
mih?ly hesz	HUN	Canoeing	2
mikael ?rn, bengt baron, per johansson, thomas lejdstr?m	SWE	Swimming	1
mike barrowman	USA	Swimming	1
mike boit	KEN	Athletics	1
mike bruner	USA	Swimming	1
mike burton	USA	Swimming	3
mike heath	USA	Swimming	1
mike lewis, liam parsons, jon beare, iain brambell	CAN	Rowing	1
mike marsh	USA	Athletics	1
mike mckay, james tomkins, andrew cooper, nicholas green	AUS	Rowing	1
mike mckay, stuart reside, stuart welch, geoff stewart, james stewart, steve stewart, michael toon, stefan szczurowski, bo hanson	AUS	Rowing	1
mike mcleod	GBR	Athletics	1
mike musyoki	KEN	Athletics	1
mike o'brien	USA	Swimming	1
mikhail kaaleste, anatoly demitkov	URS	Canoeing	1
mikhail shchennikov	RUS	Athletics	1
mikhail slivinsky	URS	Canoeing	2
mikhail zamotin, naum prokupets	URS	Canoeing	1
miki nakao	JPN	Swimming	1
milan janic	YUG	Canoeing	1
millard hampton	USA	Athletics	1
millon wolde	ETH	Athletics	1
milorad cavic	SRB	Swimming	1
milosz bernatajtys, bartlomiej pawelczak, lukasz pawlowski, pawel randa	POL	Rowing	1
mina wylie	ANZ	Swimming	1
mireia belmonte garcia	ESP	Swimming	2
